frame,time_seconds,track_id,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score
688,11.466667,0,1003.30,939.57,942.51,644.56,1064.08,939.57,0.866
689,11.483333,0,1001.20,938.05,942.82,644.68,1059.58,938.05,0.863
690,11.500000,0,1000.79,927.90,945.27,644.55,1056.32,927.90,0.872
691,11.516667,0,998.38,923.19,944.42,641.54,1052.34,923.19,0.875
692,11.533333,0,997.45,926.67,944.89,640.07,1050.01,926.67,0.877
693,11.550000,0,995.87,928.91,945.60,639.27,1046.15,928.91,0.878
694,11.566667,0,995.13,928.35,946.85,637.98,1043.42,928.35,0.883
695,11.583333,0,995.33,929.83,947.87,638.07,1042.78,929.83,0.885
696,11.600000,0,993.19,929.41,946.66,637.35,1039.72,929.41,0.890
697,11.616667,0,991.86,928.66,946.07,638.30,1037.65,928.66,0.880
698,11.633333,0,990.25,926.19,944.79,638.62,1035.70,926.19,0.866
699,11.650000,0,989.13,925.22,943.31,637.91,1034.95,925.22,0.845
700,11.666667,0,988.49,925.46,942.83,638.17,1034.16,925.46,0.849
701,11.683333,0,984.81,924.10,939.90,639.73,1029.72,924.10,0.854
702,11.700000,0,982.54,926.40,936.37,641.35,1028.71,926.40,0.853
703,11.716667,0,980.20,927.03,933.24,642.05,1027.15,927.03,0.849
704,11.733333,0,978.99,928.60,930.76,643.63,1027.22,928.60,0.856
705,11.750000,0,977.48,930.72,927.50,644.14,1027.45,930.72,0.842
706,11.766667,0,977.17,931.22,926.64,644.19,1027.69,931.22,0.838
707,11.783333,0,976.42,933.37,925.14,643.81,1027.70,933.37,0.833
708,11.800000,0,976.98,932.75,925.91,645.50,1028.05,932.75,0.839
709,11.816667,0,976.35,933.08,926.53,647.37,1026.18,933.08,0.831
710,11.833333,0,975.73,932.77,927.05,648.32,1024.41,932.77,0.835
711,11.850000,0,974.72,931.86,926.37,645.91,1023.07,931.86,0.836
712,11.866667,0,974.99,931.55,926.51,645.79,1023.48,931.55,0.840
713,11.883333,0,974.94,931.67,926.32,648.04,1023.56,931.67,0.837
714,11.900000,0,975.06,931.33,924.58,646.83,1025.55,931.33,0.839
715,11.916667,0,975.07,928.86,923.47,645.84,1026.67,928.86,0.842
716,11.933333,0,974.24,927.90,923.03,644.66,1025.44,927.90,0.845
717,11.950000,0,973.39,927.81,921.31,645.34,1025.48,927.81,0.837
718,11.966667,0,975.30,924.24,920.07,644.08,1030.53,924.24,0.804
719,11.983333,0,973.55,925.23,918.51,644.65,1028.59,925.23,0.807
720,12.000000,0,975.14,921.89,915.44,643.36,1034.84,921.89,0.799
721,12.016667,0,962.14,918.25,912.15,643.59,1012.13,918.25,0.808
722,12.033333,0,958.48,915.13,909.88,644.25,1007.07,915.13,0.829
723,12.050000,0,954.45,914.91,903.84,642.68,1005.05,914.91,0.849
724,12.066667,0,949.30,913.14,900.37,643.23,998.24,913.14,0.860
725,12.083333,0,948.54,911.43,898.40,641.86,998.68,911.43,0.871
726,12.100000,0,947.08,911.67,896.07,641.39,998.09,911.67,0.873
727,12.116667,0,945.25,910.88,893.57,639.08,996.92,910.88,0.868
728,12.133333,0,942.91,909.42,888.53,637.76,997.30,909.42,0.863
729,12.150000,0,942.15,908.09,887.15,637.70,997.15,908.09,0.872
730,12.166667,0,941.52,909.32,884.20,637.87,998.84,909.32,0.876
731,12.183333,0,940.13,910.09,880.84,638.16,999.42,910.09,0.883
732,12.200000,0,939.06,910.61,878.04,638.53,1000.07,910.61,0.886
733,12.216667,0,939.12,908.64,875.95,639.25,1002.30,908.64,0.887
734,12.233333,0,939.47,907.59,875.32,637.64,1003.61,907.59,0.888
735,12.250000,0,938.35,907.44,872.66,636.84,1004.03,907.44,0.885
736,12.266667,0,938.34,907.13,871.51,634.84,1005.17,907.13,0.885
737,12.283333,0,935.88,905.08,866.36,635.88,1005.41,905.08,0.890
738,12.300000,0,934.79,900.60,864.71,636.65,1004.88,900.60,0.882
739,12.316667,0,934.07,904.80,862.63,634.70,1005.52,904.80,0.881
740,12.333333,0,933.94,905.21,861.82,634.90,1006.07,905.21,0.880
741,12.350000,0,933.68,905.70,861.12,636.06,1006.24,905.70,0.867
742,12.366667,0,933.17,906.71,860.30,637.82,1006.05,906.71,0.866
743,12.383333,0,932.66,906.50,860.22,636.30,1005.10,906.50,0.863
744,12.400000,0,931.90,906.13,858.70,636.97,1005.11,906.13,0.868
745,12.416667,0,931.41,907.02,858.41,638.01,1004.42,907.02,0.867
746,12.433333,0,931.35,907.83,860.03,638.40,1002.67,907.83,0.866
747,12.450000,0,930.72,907.59,860.67,638.63,1000.77,907.59,0.867
748,12.466667,0,930.63,906.53,861.62,640.38,999.64,906.53,0.867
749,12.483333,0,930.94,905.01,862.65,640.96,999.24,905.01,0.874
750,12.500000,0,929.92,899.81,863.52,641.45,996.32,899.81,0.868
751,12.516667,0,930.48,903.86,863.93,640.65,997.04,903.86,0.869
752,12.533333,0,930.85,904.92,865.46,641.35,996.24,904.92,0.872
753,12.550000,0,929.48,890.30,865.43,640.71,993.53,890.30,0.854
754,12.566667,0,928.95,900.13,867.36,638.83,990.54,900.13,0.843
755,12.583333,0,927.76,903.85,868.78,637.73,986.73,903.85,0.851
756,12.600000,0,926.40,902.38,868.91,637.59,983.89,902.38,0.881
757,12.616667,0,926.59,901.49,871.20,635.17,981.99,901.49,0.878
758,12.633333,0,927.63,900.38,874.24,634.92,981.02,900.38,0.882
